name,website,linkedin,company_id,company_name,description,industry,size,email,phone,facebook,twitter,instagram,ceo,founder,source_used,confidence_score,status,last_updated,_source_file
Salesforce,salesforce.com,https://www.linkedin.com/company/salesforce,739739cd-0c06-6b8c-4795-8973dc29a46c,,"Salesforce is the #1 AI CRM, helping companies become Agentic Enterprises where humans and agents drive success together through a unified AI, data, and Customer 360 platform.",,,,,,,,,,"official_website,web_scrape",0,NOT_FOUND,2026-07-15T06:55:16Z,batch_01_standard.csv
Hubspot,hubspot.com,https://www.linkedin.com/company/hubspot,019d0e5d-4150-2987-c6a6-8080a7039ba9,,,,,,,,,,,,official_website,0,NOT_FOUND,2026-07-15T06:55:16Z,batch_01_standard.csv
Shopify,shopify.com,https://www.linkedin.com/company/shopify,d16786f7-5d8f-aa53-0716-59346c303c5a,,,,,,,,,,,,official_website,0,NOT_FOUND,2026-07-15T06:55:16Z,batch_01_standard.csv
Stripe,stripe.com,https://www.linkedin.com/company/stripe,03080ec3-2a4d-672b-c66b-c7d6b9203b06,,"Stripe is a financial services platform that helps all types of businesses accept payments, build flexible billing models and manage money movement.",,,info@stripe.com,2025 99.999,https://www.facebook.com/StripeHQ,https://twitter.com/stripe,https://www.instagram.com/stripehq/,,,"official_website,web_scrape",0,NOT_FOUND,2026-07-15T06:55:16Z,
Twilio,twilio.com,https://www.linkedin.com/company/twilio,f1b83167-039e-027c-6ab0-d82df5dfac05,,"Build amazing customer experiences on the Twilio platform with APIs for SMS, RCS, voice, and email, plus conversational AI for smarter engagement, and identity verification for trust.",,,,+15017122661,https://www.facebook.com/TeamTwilio,https://www.twitter.com/twilio,https://www.instagram.com/twilio,,,"official_website,web_scrape",0,NOT_FOUND,2026-07-15T06:55:16Z,batch_01_standard.csv
Zendesk,zendesk.com,https://www.linkedin.com/company/zendesk,efd504ee-ccc8-0280-a90d-98b1bc60ad8b,,,,,,,,,,,,official_website,0,NOT_FOUND,2026-07-15T06:55:16Z,batch_01_standard.csv
Atlassian,atlassian.com,https://www.linkedin.com/company/atlassian,52c47f93-1415-599e-5eba-7593a483ea48,,,,,,,,,,,,official_website,0,NOT_FOUND,2026-07-15T06:55:16Z,batch_01_standard.csv
Datadog,datadoghq.com,https://www.linkedin.com/company/datadog,2146ca45-0165-ec47-653f-8d16e2e8dff0,,,,,,,,,,,,official_website,0,NOT_FOUND,2026-07-15T06:55:16Z,batch_01_standard.csv
Cloudflare,cloudflare.com,https://www.linkedin.com/company/cloudflare,a38750dc-04eb-34e1-0f0d-8d41ded9f53d,,,,,,,,,,,,official_website,0,NOT_FOUND,2026-07-15T06:55:16Z,batch_01_standard.csv
Mongodb,mongodb.com,https://www.linkedin.com/company/mongodb,10da8e1b-be25-4368-7d73-dd2eedce9f0e,,"Get your ideas to market faster with a flexible, AI-ready database. MongoDB makes working with data easy.",,,,,https://www.facebook.com/MongoDB/,https://x.com/mongodb?lang=en,https://www.instagram.com/mongodb/?hl=en,,,"official_website,web_scrape",0,NOT_FOUND,2026-07-15T06:55:16Z,batch_01_standard.csv
Microsoft Corporation,microsoft.com,https://www.linkedin.com/company/microsoft,06897c68-73c6-f3cf-a00e-90b5a3b2a381,,"Your request has been blocked. This could be
                        due to several reasons.",,,,,,,,,,"official_website,web_scrape",0,NOT_FOUND,2026-07-15T06:55:16Z,batch_02_messy.csv
Vercel,vercel.com,,59c470c5-6aba-a7c9-4811-84526f69ba69,,,,,,,,,,,,official_website,0,NOT_FOUND,2026-07-15T06:55:16Z,batch_02_messy.csv
Netlify,netlify.com,,06804863-255c-e6eb-936c-b72eb13b2279,,,,,,,,,,,,official_website,0,NOT_FOUND,2026-07-15T06:55:16Z,batch_02_messy.csv
